existing_id,existing_title,territory,decision,resolved_live_id,verification_status,official_source,canonical_action
538f4663-cc03-591f-b2bd-5067cc561a56,Screen Flanders — Production Incentive + Grant,Belgium,CORRECT,538f4663-cc03-591f-b2bd-5067cc561a56,VERIFIED_CURRENT,https://www.screenflanders.be/en/financing/screen-flanders; https://www.screenflanders.be/en/financing/screen-flanders/criteria,Retain as Screen Flanders economic support measure; correct amount/status/eligibility
18998d85-fe57-562d-84db-e118868e07aa,Wallimage — Production Fund (Wallonia),Belgium,CORRECT,18998d85-fe57-562d-84db-e118868e07aa,PARTIALLY_VERIFIED,https://www.wallimage.be/services/coproductions/,Rename/canonicalise as Wallimage Coproductions and make session-based
3e2f2f59-32d1-55fe-8e87-a1b04fb9b42f,Icelandic Film Centre — Production Grant,Iceland,CORRECT,3e2f2f59-32d1-55fe-8e87-a1b04fb9b42f,VERIFIED_CURRENT,https://www.icelandicfilmcentre.is/industry/grants-and-funding,Retain production grant but correct recurrence/eligibility and separate from reimbursement scheme
b40bfa31-4599-5e8a-85c0-a34a768e0043,Icelandic Film Centre — Short Film and New Talent,Iceland,NEEDS_REVIEW,b40bfa31-4599-5e8a-85c0-a34a768e0043,IDENTITY_ONLY,https://www.icelandicfilmcentre.is/industry/grants-and-funding,Keep out of paid matching until current named scheme/rules are located on official source
e30b8c77-b862-5021-9b45-9210a580be3a,NZ Film Commission — Development Funding,New Zealand,CORRECT,e30b8c77-b862-5021-9b45-9210a580be3a,PARTIALLY_VERIFIED,https://www.nzfilm.co.nz/funding-support-nz-filmmakers/funding/feature-film-development-funding,Canonicalise as Feature Film Development Funding and split scripted/documentary rules where needed
2516878e-27cb-524d-9f8d-1b8520922435,Korean Film Council (KOFIC) — International Co-Production Fund,South Korea,SPLIT,,VERIFIED_CURRENT,https://www.kofic.or.kr/kofic/business/prom/promotionBoardDetail.do?seqNo=18712; https://www.kofic.or.kr/kofic/business/prom/promotionBoardDetail.do?seqNo=17974,Retire generic row and replace with current cycle-specific KOFIC international co-production programmes
39b9b071-6f7b-5458-b7dc-07dc74e1013b,Busan International Film Festival — Asian Cinema Fund,South Korea,SPLIT,,VERIFIED_CURRENT,https://acf.biff.kr/; https://press.biff.kr/eng/artyboard/mboard.asp?Action=view&intSeq=102460&strBoardID=9622_04,"Replace generic ACF row with current ACF schemes, including Co-Production Support Fund"
264e67c0-2807-597e-af13-69e48d3c58a9,IDFA Bertha Fund,Global,SPLIT,,VERIFIED_CURRENT,https://professionals.idfa.nl/stories/ibf-europe-2026/; https://professionals.idfa.nl/bertha-fund/,Split generic IBF row into IBF Classic and IBF Europe schemes
2728adc5-5744-5c2d-8f7f-03778572cf8a,IFFR — Hubert Bals Fund — Production,Global,SPLIT,,VERIFIED_CURRENT,https://iffr.com/en/hubert-bals-fund/funding-schemes; https://iffr.com/en/hubert-bals-fund/funding-schemes/hbf-script-and-project-development-support; https://iffr.com/en/hubert-bals-fund/funding-schemes/hbfeurope-minority-co-production-support,Retire generic Production row and model the current HBF schemes separately
27c803b7-2c2c-5a78-8d7a-32daf28f6a5b,Hot Docs — Blue Ice Fund (Africa Focus),Western Cape,CORRECT,27c803b7-2c2c-5a78-8d7a-32daf28f6a5b,VERIFIED_CURRENT,https://hotdocs.ca/industry/film-funds; https://hotdocs.ca/news/media?category=industry,Retain as Hot Docs-Blue Ice Docs Fund; correct territory to eligible African filmmakers rather than Western Cape
