id,title,lifecycle_state,target_dataset,action,reason,replacement_title
9303b66f-36a7-5604-a7f6-e8e0c27b35eb,ICAA — Ayudas al Desarrollo de Proyectos,ARCHIVED,,ARCHIVE,,ICAA — Ayudas al Desarrollo de Proyectos
ceaf0f31-3c16-59ff-a971-919d16097240,IMCINE — FIDECINE (Commercial Cinema Fund),ARCHIVED,,ARCHIVE,,IMCINE — FIDECINE (Commercial Cinema Fund)
ef7cfd40-0427-520b-b300-cba968c50bd9,Ontario Creates — Film Fund,ARCHIVED,,ARCHIVE_REPLACE,,Ontario Creates — IP Fund — Linear Content
782515c4-f42d-5335-a57d-dabad19290e1,Creative Europe MEDIA — Development Single Project,ARCHIVED,,ARCHIVE,LEGACY / NOT A 2026 MEDIA DEVELOPMENT ACTION,
0427430d-8bfc-529c-b20e-d977aebd1a15,RTE — Documentary on One Development Fund,ARCHIVED,,ARCHIVE_REPLACE,RTÉ/ARTE FUND ROLLING,
0c577d00-3d1e-592f-a8d6-161ceb6cf375,Fonds Images Afrique — Institut Français,ARCHIVED,,ARCHIVE_RECLASSIFY,NO CURRENT OFFICIAL FONDS IMAGES AFRIQUE CALL IDENTIFIED,
4b115def-8bf3-5fea-a3df-e9f64b8ffc9e,Arts Council Malta — Creative Fund,ARCHIVED,,ARCHIVE_REPLACE,2026 STRANDS 1-5 CLOSED; STRAND 6 OPEN,
90ac0fd8-5f90-5a79-87b4-6b9eef2f7d6c,Malta Film Fund — Production Grant,ARCHIVED,,ARCHIVE_REPLACE,2026 STRAND 4 CLOSED,
333e76a0-5eae-5fe0-97c6-bf5e7be2f2ab,"NYSCA — Film, Media, and New Technology Grants",ARCHIVED,,ARCHIVE_REPLACE,CURRENT REGRANT PATHWAY,
3d864145-e928-5e07-88e4-de83e2a1e9e9,California Arts Council — Artists in Communities,ARCHIVED,,ARCHIVE_REPLACE,2026 ROUND CLOSED,
c8d328a3-aaee-5621-9c4f-fdcef9730f77,Georgia Film Office — Film Georgia Fund,ARCHIVED,,ARCHIVE_RECLASSIFY,NO CURRENT FILM GRANT SUBSTANTIATED,
ba26116e-6876-55e4-9179-581b79817501,Illinois Arts Council Agency — Individual Artists Support,ARCHIVED,,ARCHIVE_REPLACE,CREATIVE ACCELERATOR OPEN TO 2026-10-14,
606cff15-13a7-5a7a-92b3-3ec8012d968d,Louisiana Division of the Arts — Artist Fellowship,ARCHIVED,,ARCHIVE_REPLACE,FY27 LPG ROUND CLOSED,
e7766cf4-f546-5fe8-af3f-97e25ac7eb71,New Mexico Arts — Film and Arts Funding,ARCHIVED,,ARCHIVE_REPLACE,FY27 NEW APPLICATIONS CLOSED; FY28 OPPORTUNITIES EXPECTED FALL 2026,
